Operation,Time (ms),Events,Exchange Name,Model Name,Execution Time
ProcessRhinoObjectToCreateFile:CreateStepFilesForObject,1692,11,Demo20241217013065,Hull.3dm,
ExportAndCreateBrep,1617,45,Demo20241217013065,Hull.3dm,
CreateBRepElement:CreateBRepGeometry,1616,45,Demo20241217013065,Hull.3dm,
CreateCustomParameter:CreateParameter,60,487,Demo20241217013065,Hull.3dm,
GetSchemaAsync,8,974,Demo20241217013065,Hull.3dm,
GetSchemaAsync:GetFromResource,7,974,Demo20241217013065,Hull.3dm,
UpdateExchangeAsync:SyncExchangeDataAsync,7068,1,Demo20241217013065,Hull.3dm,
SyncExchangeDataAsync,7067,1,Demo20241217013065,Hull.3dm,
ProcessRenderStylesFromFileGeometry,0,1,Demo20241217013065,Hull.3dm,
GetAllAssetInfosWithTranslatedGeometryPath,1986,1,Demo20241217013065,Hull.3dm,
GUSDK:GeometriesToInternal,1984,1,Demo20241217013065,Hull.3dm,
UploadGeometries,766,1,Demo20241217013065,Hull.3dm,
UploadBinaryPacksAsGeometries,753,1,Demo20241217013065,Hull.3dm,
UploadCustomGeometries,44657,0,Demo20241217013065,Hull.3dm,
AssetToSyncResult,4,1,Demo20241217013065,Hull.3dm,
GetSchemasAsync,0,1,Demo20241217013065,Hull.3dm,
RelationshipToSyncRequest,0,1,Demo20241217013065,Hull.3dm,
SchemaToSyncRequest,0,1,Demo20241217013065,Hull.3dm,
PrepareBatchedSyncRequests,0,1,Demo20241217013065,Hull.3dm,
TriggerBatchedSyncRequests,4,1,Demo20241217013065,Hull.3dm,
TriggerProcessGeometry,0,1,Demo20241217013065,Hull.3dm,
WaitForAllSyncCalls,367,1,Demo20241217013065,Hull.3dm,
FinishFulfillment,238,1,Demo20241217013065,Hull.3dm,
PollForFulfillment,3526,1,Demo20241217013065,Hull.3dm,
SaveToCache,18,1,Demo20241217013065,Hull.3dm,
UpdateExchangeAsync:GenerateViewableAsync,37984,1,Demo20241217013065,Hull.3dm,
GenerateACCViewable,7983,1,Demo20241217013065,Hull.3dm,
ValidateExhange:ListOfSelectedObjectIDs,0,2,Demo202412170131789,Demo4.3dm,
CreateExchangeAsync,3222,1,Demo202412170131789,Demo4.3dm,
UpdateExchangeAsync,45887,2,Demo202412170131789,Demo4.3dm,
GetExchangeFromCache,0,1,Demo202412170131789,Demo4.3dm,
UpdateExchangeAsync:StartUploadRhinoObjects,267,1,Demo202412170131789,Demo4.3dm,
ProcessRhinoObjectToCreateFile:CreateStepFilesForObject,263,5,Demo202412170131789,Demo4.3dm,
ExportAndCreateBrep,260,5,Demo202412170131789,Demo4.3dm,
CreateBRepElement:CreateBRepGeometry,260,5,Demo202412170131789,Demo4.3dm,
CreateCustomParameter:CreateParameter,1,5,Demo202412170131789,Demo4.3dm,
GetSchemaAsync,0,10,Demo202412170131789,Demo4.3dm,
GetSchemaAsync:GetFromResource,0,10,Demo202412170131789,Demo4.3dm,
UpdateExchangeAsync:SyncExchangeDataAsync,5993,1,Demo202412170131789,Demo4.3dm,
SyncExchangeDataAsync,5993,1,Demo202412170131789,Demo4.3dm,
ProcessRenderStylesFromFileGeometry,0,1,Demo202412170131789,Demo4.3dm,
GetAllAssetInfosWithTranslatedGeometryPath,1007,1,Demo202412170131789,Demo4.3dm,
GUSDK:GeometriesToInternal,1006,1,Demo202412170131789,Demo4.3dm,
UploadGeometries,1164,1,Demo202412170131789,Demo4.3dm,
UploadBinaryPacksAsGeometries,1156,1,Demo202412170131789,Demo4.3dm,
UploadCustomGeometries,42275,0,Demo202412170131789,Demo4.3dm,
AssetToSyncResult,0,1,Demo202412170131789,Demo4.3dm,
GetSchemasAsync,0,1,Demo202412170131789,Demo4.3dm,
RelationshipToSyncRequest,0,1,Demo202412170131789,Demo4.3dm,
SchemaToSyncRequest,0,1,Demo202412170131789,Demo4.3dm,
PrepareBatchedSyncRequests,0,1,Demo202412170131789,Demo4.3dm,
TriggerBatchedSyncRequests,0,1,Demo202412170131789,Demo4.3dm,
TriggerProcessGeometry,0,1,Demo202412170131789,Demo4.3dm,
WaitForAllSyncCalls,354,1,Demo202412170131789,Demo4.3dm,
FinishFulfillment,287,1,Demo202412170131789,Demo4.3dm,
PollForFulfillment,2989,1,Demo202412170131789,Demo4.3dm,
SaveToCache,6,1,Demo202412170131789,Demo4.3dm,
UpdateExchangeAsync:GenerateViewableAsync,33723,1,Demo202412170131789,Demo4.3dm,
GenerateACCViewable,3722,1,Demo202412170131789,Demo4.3dm,
ValidateExhange:ListOfSelectedObjectIDs,0,2,Demo2024121701324226,Demo1.3dm,
CreateExchangeAsync,3240,1,Demo2024121701324226,Demo1.3dm,
UpdateExchangeAsync,140617,2,Demo2024121701324226,Demo1.3dm,
GetExchangeFromCache,0,1,Demo2024121701324226,Demo1.3dm,
UpdateExchangeAsync:StartUploadRhinoObjects,38735,1,Demo2024121701324226,Demo1.3dm,
ProcessRhinoObjectToCreateFile:CreateStepFilesForObject,38706,276,Demo2024121701324226,Demo1.3dm,
ExportAndCreateBrep,38558,276,Demo2024121701324226,Demo1.3dm,
CreateMeshElement:CreateMeshGeometry,38555,276,Demo2024121701324226,Demo1.3dm,
